"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 14:32:28 GMT 2024","Sun Nov 17 14:32:28 GMT 2024","111","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Sun Nov 17 14:31:08 GMT 2024","Sun Nov 17 14:31:08 GMT 2024","408","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Sun Nov 17 14:32:07 GMT 2024","Sun Nov 17 14:32:07 GMT 2024","286","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sun Nov 17 14:32:19 GMT 2024","Sun Nov 17 14:32:19 GMT 2024","174","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Sun Nov 17 14:31:39 GMT 2024","Sun Nov 17 14:31:39 GMT 2024","129","Cookies","","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Sun Nov 17 14:32:35 GMT 2024","Sun Nov 17 14:32:35 GMT 2024","304","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Sun Nov 17 14:32:23 GMT 2024","Sun Nov 17 14:32:24 GMT 2024","492","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Sun Nov 17 14:32:12 GMT 2024","Sun Nov 17 14:32:12 GMT 2024","101","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Sun Nov 17 14:32:24 GMT 2024","Sun Nov 17 14:32:24 GMT 2024","166","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Sun Nov 17 14:32:12 GMT 2024","Sun Nov 17 14:32:12 GMT 2024","132","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Sun Nov 17 14:31:38 GMT 2024","Sun Nov 17 14:31:38 GMT 2024","111","Cookies","","","","","cy.setCookie() - set a browser cookie",""
"passed","Sun Nov 17 14:30:58 GMT 2024","Sun Nov 17 14:30:58 GMT 2024","320","example to-do app","","","","","displays two todo items by default",""
"passed","Sun Nov 17 14:31:26 GMT 2024","Sun Nov 17 14:31:26 GMT 2024","126","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:43 GMT 2024","98","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Sun Nov 17 14:31:11 GMT 2024","Sun Nov 17 14:31:12 GMT 2024","205","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Sun Nov 17 14:32:29 GMT 2024","Sun Nov 17 14:32:29 GMT 2024","112","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Sun Nov 17 14:31:57 GMT 2024","Sun Nov 17 14:31:57 GMT 2024","89","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:43 GMT 2024","90","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sun Nov 17 14:31:00 GMT 2024","Sun Nov 17 14:31:00 GMT 2024","241","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Sun Nov 17 14:30:59 GMT 2024","Sun Nov 17 14:30:59 GMT 2024","252","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sun Nov 17 14:30:58 GMT 2024","Sun Nov 17 14:30:59 GMT 2024","405","example to-do app","","","","","can add new todo items",""
"passed","Sun Nov 17 14:32:12 GMT 2024","Sun Nov 17 14:32:12 GMT 2024","294","Querying","","","","","cy.get() - query DOM elements",""
"passed","Sun Nov 17 14:32:30 GMT 2024","Sun Nov 17 14:32:30 GMT 2024","105","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sun Nov 17 14:32:54 GMT 2024","Sun Nov 17 14:32:54 GMT 2024","89","Window","","","","","cy.document() - get the document object",""
"passed","Sun Nov 17 14:32:07 GMT 2024","Sun Nov 17 14:32:07 GMT 2024","211","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Sun Nov 17 14:32:35 GMT 2024","Sun Nov 17 14:32:35 GMT 2024","93","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sun Nov 17 14:31:15 GMT 2024","Sun Nov 17 14:31:17 GMT 2024","2220","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sun Nov 17 14:31:38 GMT 2024","Sun Nov 17 14:31:38 GMT 2024","198","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sun Nov 17 14:31:47 GMT 2024","Sun Nov 17 14:31:47 GMT 2024","93","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Sun Nov 17 14:31:09 GMT 2024","Sun Nov 17 14:31:09 GMT 2024","429","Actions","","","","",".submit() - submit a form",""
"passed","Sun Nov 17 14:32:07 GMT 2024","Sun Nov 17 14:32:07 GMT 2024","149","Network Requests","","","","","cy.request() with query parameters",""
"passed","Sun Nov 17 14:31:27 GMT 2024","Sun Nov 17 14:31:28 GMT 2024","1598","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Sun Nov 17 14:31:38 GMT 2024","Sun Nov 17 14:31:38 GMT 2024","134","Cookies","","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Sun Nov 17 14:31:09 GMT 2024","Sun Nov 17 14:31:11 GMT 2024","1877","Actions","","","","",".click() - click on a DOM element",""
"passed","Sun Nov 17 14:31:47 GMT 2024","Sun Nov 17 14:31:48 GMT 2024","104","Files","","","","","cy.readFile() - read file contents",""
"passed","Sun Nov 17 14:31:33 GMT 2024","Sun Nov 17 14:31:33 GMT 2024","113","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Sun Nov 17 14:31:08 GMT 2024","Sun Nov 17 14:31:08 GMT 2024","162","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Sun Nov 17 14:31:56 GMT 2024","Sun Nov 17 14:31:57 GMT 2024","913","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:43 GMT 2024","87","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Sun Nov 17 14:31:15 GMT 2024","Sun Nov 17 14:31:15 GMT 2024","157","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sun Nov 17 14:32:16 GMT 2024","Sun Nov 17 14:32:17 GMT 2024","217","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Sun Nov 17 14:32:24 GMT 2024","Sun Nov 17 14:32:25 GMT 2024","173","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:44 GMT 2024","88","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Sun Nov 17 14:32:20 GMT 2024","Sun Nov 17 14:32:20 GMT 2024","242","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Sun Nov 17 14:32:20 GMT 2024","Sun Nov 17 14:32:20 GMT 2024","16","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Sun Nov 17 14:32:35 GMT 2024","Sun Nov 17 14:32:35 GMT 2024","186","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Sun Nov 17 14:32:40 GMT 2024","Sun Nov 17 14:32:43 GMT 2024","2780","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sun Nov 17 14:32:28 GMT 2024","Sun Nov 17 14:32:28 GMT 2024","274","Traversal","","","","",".children() - get child DOM elements",""
"passed","Sun Nov 17 14:31:26 GMT 2024","Sun Nov 17 14:31:26 GMT 2024","103","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:43 GMT 2024","88","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Sun Nov 17 14:32:30 GMT 2024","Sun Nov 17 14:32:30 GMT 2024","109","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sun Nov 17 14:31:56 GMT 2024","Sun Nov 17 14:31:56 GMT 2024","96","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Sun Nov 17 14:32:31 GMT 2024","Sun Nov 17 14:32:31 GMT 2024","109","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Sun Nov 17 14:31:33 GMT 2024","Sun Nov 17 14:31:33 GMT 2024","99","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Sun Nov 17 14:31:47 GMT 2024","Sun Nov 17 14:31:47 GMT 2024","313","Files","","","","","cy.fixture() - load a fixture",""
"passed","Sun Nov 17 14:31:51 GMT 2024","Sun Nov 17 14:31:51 GMT 2024","215","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Sun Nov 17 14:32:30 GMT 2024","Sun Nov 17 14:32:31 GMT 2024","117","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Sun Nov 17 14:31:55 GMT 2024","Sun Nov 17 14:31:56 GMT 2024","748","Misc","","","","","cy.exec() - execute a system command",""
"passed","Sun Nov 17 14:31:38 GMT 2024","Sun Nov 17 14:31:38 GMT 2024","187","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Sun Nov 17 14:31:42 GMT 2024","Sun Nov 17 14:31:42 GMT 2024","120","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Sun Nov 17 14:31:32 GMT 2024","Sun Nov 17 14:31:32 GMT 2024","277","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Sun Nov 17 14:31:08 GMT 2024","Sun Nov 17 14:31:09 GMT 2024","503","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Sun Nov 17 14:31:27 GMT 2024","Sun Nov 17 14:31:27 GMT 2024","109","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Sun Nov 17 14:32:54 GMT 2024","Sun Nov 17 14:32:54 GMT 2024","205","Window","","","","","cy.window() - get the global window object",""
"passed","Sun Nov 17 14:32:31 GMT 2024","Sun Nov 17 14:32:31 GMT 2024","113","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Sun Nov 17 14:31:32 GMT 2024","Sun Nov 17 14:31:33 GMT 2024","126","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Sun Nov 17 14:32:31 GMT 2024","Sun Nov 17 14:32:31 GMT 2024","114","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Sun Nov 17 14:31:33 GMT 2024","Sun Nov 17 14:31:33 GMT 2024","124","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sun Nov 17 14:32:20 GMT 2024","Sun Nov 17 14:32:20 GMT 2024","20","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Sun Nov 17 14:31:56 GMT 2024","Sun Nov 17 14:31:56 GMT 2024","260","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Sun Nov 17 14:31:13 GMT 2024","Sun Nov 17 14:31:14 GMT 2024","795","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sun Nov 17 14:31:52 GMT 2024","Sun Nov 17 14:31:52 GMT 2024","81","Location","","","","","cy.url() - get the current URL",""
"passed","Sun Nov 17 14:32:12 GMT 2024","Sun Nov 17 14:32:12 GMT 2024","108","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Sun Nov 17 14:32:29 GMT 2024","Sun Nov 17 14:32:29 GMT 2024","115","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Sun Nov 17 14:31:37 GMT 2024","Sun Nov 17 14:31:37 GMT 2024","328","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Sun Nov 17 14:32:24 GMT 2024","Sun Nov 17 14:32:24 GMT 2024","170","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:43 GMT 2024","87","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Sun Nov 17 14:31:43 GMT 2024","Sun Nov 17 14:31:43 GMT 2024","104","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Sun Nov 17 14:32:01 GMT 2024","Sun Nov 17 14:32:01 GMT 2024","912","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sun Nov 17 14:31:26 GMT 2024","Sun Nov 17 14:31:26 GMT 2024","119","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Sun Nov 17 14:32:50 GMT 2024","Sun Nov 17 14:32:51 GMT 2024","218","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Sun Nov 17 14:31:26 GMT 2024","Sun Nov 17 14:31:26 GMT 2024","109","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Sun Nov 17 14:31:37 GMT 2024","Sun Nov 17 14:31:38 GMT 2024","200","Cookies","","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Sun Nov 17 14:32:29 GMT 2024","Sun Nov 17 14:32:29 GMT 2024","115","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
