"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 09:02:00 GMT 2024","Sun Nov 17 09:02:00 GMT 2024","244","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sun Nov 17 09:03:51 GMT 2024","Sun Nov 17 09:03:51 GMT 2024","105","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sun Nov 17 09:02:31 GMT 2024","Sun Nov 17 09:02:31 GMT 2024","99","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Sun Nov 17 09:02:14 GMT 2024","Sun Nov 17 09:02:15 GMT 2024","783","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sun Nov 17 09:03:09 GMT 2024","Sun Nov 17 09:03:09 GMT 2024","80","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Nov 17 09:02:10 GMT 2024","Sun Nov 17 09:02:10 GMT 2024","495","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Sun Nov 17 09:03:02 GMT 2024","Sun Nov 17 09:03:02 GMT 2024","196","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Sun Nov 17 09:02:50 GMT 2024","Sun Nov 17 09:02:50 GMT 2024","82","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Sun Nov 17 09:03:44 GMT 2024","Sun Nov 17 09:03:44 GMT 2024","161","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Sun Nov 17 09:02:24 GMT 2024","Sun Nov 17 09:02:24 GMT 2024","349","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Sun Nov 17 09:02:56 GMT 2024","Sun Nov 17 09:02:56 GMT 2024","83","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Sun Nov 17 09:03:35 GMT 2024","Sun Nov 17 09:03:38 GMT 2024","2521","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
